return_period,AEP_loss_usd,AEP_ci_low,AEP_ci_high,OEP_loss_usd,OEP_ci_low,OEP_ci_high
10,32418441289.42227,19308940887.733173,48845322720.36995,23016706550.081177,13504317441.953497,36163839833.66952
25,49903720054.422195,30336346360.16061,77136223550.60194,38547833567.62896,21092829329.577927,59734538127.47511
50,66806130112.710724,38315836379.71988,121035858269.29527,54329356095.9674,25214083256.190865,107311248543.06529
100,91011290738.63344,44384669803.46311,210655714334.94592,73208743895.52696,26543103352.20795,199778094687.18445
250,121497347714.95882,51747707798.40066,443298040855.6177,104120846172.47842,26782513495.60852,431980727846.7558
